,NAV,MDD
2023-12-31,100,0
2024-01-01,100,0
2024-01-02,99.52,0
2024-01-03,99.11,-0.01
2024-01-04,98.92,-0.01
2024-01-05,98.98,-0.01
2024-01-06,98.98,-0.01
2024-01-07,98.98,-0.01
2024-01-08,99.56,0
2024-01-09,99.62,0
2024-01-10,99.84,0
2024-01-11,99.98,0
2024-01-12,100.12,0
2024-01-13,100.12,0
2024-01-14,100.12,0
2024-01-15,100.12,0
2024-01-16,99.87,0
2024-01-17,99.51,-0.01
2024-01-18,100.02,0
2024-01-19,100.62,0
2024-01-20,100.62,0
2024-01-21,100.62,0
2024-01-22,100.65,0
2024-01-23,100.78,0
2024-01-24,100.82,0
2024-01-25,101.12,0
2024-01-26,100.95,0
2024-01-27,100.95,0
2024-01-28,100.95,0
2024-01-29,101.37,0
2024-01-30,101.21,0
2024-01-31,100.58,-0.01
2024-02-01,101.19,0
2024-02-02,101.47,0
2024-02-03,101.47,0
2024-02-04,101.47,0
2024-02-05,101.25,0
2024-02-06,101.38,0
2024-02-07,101.71,0
2024-02-08,101.75,0
2024-02-09,102.03,0
2024-02-10,102.03,0
2024-02-11,102.03,0
2024-02-12,101.89,0
2024-02-13,101.11,-0.01
2024-02-14,101.51,-0.01
2024-02-15,101.81,0
2024-02-16,101.55,0
2024-02-17,101.55,0
2024-02-18,101.55,0
2024-02-19,101.55,0
2024-02-20,101.44,-0.01
2024-02-21,101.33,-0.01
2024-02-22,102.27,0
2024-02-23,102.29,0
2024-02-24,102.29,0
2024-02-25,102.29,0
2024-02-26,102.16,0
2024-02-27,102.25,0
2024-02-28,102.15,0
2024-02-29,102.47,0
2024-03-01,103.17,0
2024-03-02,103.17,0
2024-03-03,103.17,0
2024-03-04,103.24,0
2024-03-05,102.79,0
2024-03-06,103.12,0
2024-03-07,103.65,0
2024-03-08,103.37,0
2024-03-09,103.37,0
2024-03-10,103.37,0
2024-03-11,103.3,0
2024-03-12,103.64,0
2024-03-13,103.54,0
2024-03-14,103.34,0
2024-03-15,102.98,-0.01
2024-03-16,102.98,-0.01
2024-03-17,102.98,-0.01
2024-03-18,103.31,0
2024-03-19,103.5,0
2024-03-20,104.05,0
2024-03-21,104.18,0
2024-03-22,104.09,0
2024-03-23,104.09,0
2024-03-24,104.09,0
2024-03-25,103.98,0
2024-03-26,103.91,0
2024-03-27,104.29,0
2024-03-28,104.33,0
2024-03-29,104.33,0
2024-03-30,104.33,0
2024-03-31,104.33,0
2024-04-01,104.4,0
2024-04-02,104.28,0
2024-04-03,104.45,0
2024-04-04,103.93,-0.01
2024-04-05,104.47,0
2024-04-06,104.47,0
