,NAV,MDD
2023-12-31,100,0
2024-01-01,100,0
2024-01-02,99.34,-0.01
2024-01-03,98.83,-0.01
2024-01-04,98.59,-0.01
2024-01-05,98.58,-0.01
2024-01-06,98.58,-0.01
2024-01-07,98.58,-0.01
2024-01-08,99.22,-0.01
2024-01-09,99.27,-0.01
2024-01-10,99.47,-0.01
2024-01-11,99.65,0
2024-01-12,99.92,0
2024-01-13,99.92,0
2024-01-14,99.92,0
2024-01-15,99.92,0
2024-01-16,99.57,0
2024-01-17,99.08,-0.01
2024-01-18,99.73,0
2024-01-19,100.52,0
2024-01-20,100.52,0
2024-01-21,100.52,0
2024-01-22,100.56,0
2024-01-23,100.76,0
2024-01-24,100.74,0
2024-01-25,100.99,0
2024-01-26,100.74,0
2024-01-27,100.74,0
2024-01-28,100.74,0
2024-01-29,101.38,0
2024-01-30,101.21,0
2024-01-31,100.55,-0.01
2024-02-01,101.35,0
2024-02-02,101.59,0
2024-02-03,101.59,0
2024-02-04,101.59,0
2024-02-05,101.26,0
2024-02-06,101.43,0
2024-02-07,101.8,0
2024-02-08,101.8,0
2024-02-09,102.08,0
2024-02-10,102.08,0
2024-02-11,102.08,0
2024-02-12,101.93,0
2024-02-13,100.85,-0.01
2024-02-14,101.33,-0.01
2024-02-15,101.69,0
2024-02-16,101.36,-0.01
2024-02-17,101.36,-0.01
2024-02-18,101.36,-0.01
2024-02-19,101.36,-0.01
2024-02-20,101.21,-0.01
2024-02-21,101.05,-0.01
2024-02-22,102.19,0
2024-02-23,102.29,0
2024-02-24,102.29,0
2024-02-25,102.29,0
2024-02-26,102.17,0
2024-02-27,102.22,0
2024-02-28,102.13,0
2024-02-29,102.57,0
2024-03-01,103.61,0
2024-03-02,103.61,0
2024-03-03,103.61,0
2024-03-04,103.79,0
2024-03-05,103.31,0
2024-03-06,103.77,0
2024-03-07,104.51,0
2024-03-08,104.17,0
2024-03-09,104.17,0
2024-03-10,104.17,0
2024-03-11,104.06,0
2024-03-12,104.36,0
2024-03-13,104.21,0
2024-03-14,103.91,-0.01
2024-03-15,103.38,-0.01
2024-03-16,103.38,-0.01
2024-03-17,103.38,-0.01
2024-03-18,103.76,-0.01
2024-03-19,103.93,-0.01
2024-03-20,104.69,0
2024-03-21,104.87,0
2024-03-22,104.79,0
2024-03-23,104.79,0
2024-03-24,104.79,0
2024-03-25,104.67,0
2024-03-26,104.65,0
2024-03-27,105.07,0
2024-03-28,105.26,0
2024-03-29,105.26,0
2024-03-30,105.26,0
2024-03-31,105.26,0
2024-04-01,105.42,0
2024-04-02,105.36,0
2024-04-03,105.65,0
2024-04-04,104.96,-0.01
