Date,NAV,MDD
2023-12-31,100,0
2024-01-01,100.11,0
2024-01-02,100.28,0
2024-01-03,100.14,0
2024-01-04,100.1,0
2024-01-05,100.26,0
2024-01-06,100.31,0
2024-01-07,100.41,0
2024-01-08,100.43,0
2024-01-09,100.72,0
2024-01-10,100.8,0
2024-01-11,100.9,0
2024-01-12,100.65,0
2024-01-13,100.35,-0.01
2024-01-14,100.16,-0.01
2024-01-15,100.28,-0.01
2024-01-16,100.38,-0.01
2024-01-17,100.46,0
2024-01-18,100.35,-0.01
2024-01-19,100.85,0
2024-01-20,100.9,0
2024-01-21,101.05,0
2024-01-22,101.33,0
2024-01-23,101.28,0
2024-01-24,101.45,0
2024-01-25,101.53,0
2024-01-26,101.59,0
2024-01-27,101.5,0
2024-01-28,101.52,0
2024-01-29,101.76,0
2024-01-30,101.78,0
2024-01-31,101.76,0
2024-02-01,101.87,0
2024-02-02,101.96,0
2024-02-03,102.09,0
2024-02-04,102.06,0
2024-02-05,102.19,0
2024-02-06,102.11,0
2024-02-07,102.22,0
2024-02-08,102.44,0
2024-02-09,102.65,0
2024-02-10,102.39,0
2024-02-11,102.26,0
2024-02-12,102.59,0
2024-02-13,102.69,0
2024-02-14,102.52,0
2024-02-15,102.72,0
2024-02-16,102.88,0
2024-02-17,102.82,0
2024-02-18,103.01,0
2024-02-19,102.94,0
2024-02-20,102.92,0
2024-02-21,102.77,0
2024-02-22,102.89,0
2024-02-23,103.31,0
2024-02-24,103.02,0
2024-02-25,103.18,0
2024-02-26,103.26,0
2024-02-27,103.18,0
2024-02-28,103.3,0
2024-02-29,103.13,0
2024-03-01,103.06,0
2024-03-02,102.94,0
2024-03-03,103.16,0
2024-03-04,103.63,0
2024-03-05,103.68,0
2024-03-06,103.52,0
2024-03-07,103.49,0
2024-03-08,103.53,0
2024-03-09,103.59,0
2024-03-10,103.51,0
2024-03-11,103.22,0
2024-03-12,103.32,0
2024-03-13,103.52,0
2024-03-14,104.15,0
2024-03-15,104.19,0
2024-03-16,104.02,0
2024-03-17,104.12,0
2024-03-18,104.37,0
2024-03-19,104.5,0
2024-03-20,104.63,0
2024-03-21,104.53,0
2024-03-22,104.8,0
2024-03-23,104.93,0
2024-03-24,104.85,0
2024-03-25,104.71,0
2024-03-26,104.66,0
2024-03-27,104.8,0
2024-03-28,104.77,0
2024-03-29,104.96,0
2024-03-30,105.03,0
2024-03-31,105.49,0
2024-04-01,105.39,0
2024-04-02,105.32,0
2024-04-03,105.11,0
2024-04-04,105.16,0
2024-04-05,104.99,0
2024-04-06,104.97,0
2024-04-07,105,0
2024-04-08,105.26,0
2024-04-09,105.34,0
2024-04-10,105.34,0
2024-04-11,105.44,0
2024-04-12,105.74,0
2024-04-13,105.6,0
2024-04-14,105.76,0
2024-04-15,105.38,0
2024-04-16,105.14,-0.01
