Date,NAV,MDD
2023-12-31,100,0
2024-01-01,100,0
2024-01-02,100,0
2024-01-03,99.58,0
2024-01-04,99.33,-0.01
2024-01-05,99.2,-0.01
2024-01-06,99.2,-0.01
2024-01-07,99.2,-0.01
2024-01-08,99.2,-0.01
2024-01-09,99.94,0
2024-01-10,100.24,0
2024-01-11,100.46,0
2024-01-12,100.35,0
2024-01-13,100.35,0
2024-01-14,100.35,0
2024-01-15,100.72,0
2024-01-16,100.86,0
2024-01-17,100.91,0
2024-01-18,100.69,0
2024-01-19,101.26,0
2024-01-20,101.26,0
2024-01-21,101.26,0
2024-01-22,101.95,0
2024-01-23,101.79,0
2024-01-24,102.12,0
2024-01-25,102.06,0
2024-01-26,102.16,0
2024-01-27,102.16,0
2024-01-28,102.16,0
2024-01-29,102.2,0
2024-01-30,102.46,0
2024-01-31,102.11,0
2024-02-01,101.72,-0.01
2024-02-02,102.03,0
2024-02-03,102.03,0
2024-02-04,102.03,0
2024-02-05,102.37,0
2024-02-06,102.21,0
2024-02-07,102.33,0
2024-02-08,102.74,0
2024-02-09,102.74,0
2024-02-10,102.74,0
2024-02-11,102.74,0
2024-02-12,102.74,0
2024-02-13,102.92,0
2024-02-14,102.4,-0.01
2024-02-15,102.79,0
2024-02-16,103.07,0
2024-02-17,103.07,0
2024-02-18,103.07,0
2024-02-19,102.84,0
2024-02-20,102.79,0
2024-02-21,102.5,-0.01
2024-02-22,102.75,0
2024-02-23,103.39,0
2024-02-24,103.39,0
2024-02-25,103.39,0
2024-02-26,103.38,0
2024-02-27,103.21,0
2024-02-28,103.44,0
2024-02-29,103.26,0
2024-03-01,103.26,0
2024-03-02,103.26,0
2024-03-03,103.26,0
2024-03-04,103.99,0
2024-03-05,104.07,0
2024-03-06,103.76,0
2024-03-07,103.89,0
2024-03-08,104.12,0
2024-03-09,104.12,0
2024-03-10,104.12,0
2024-03-11,103.51,-0.01
2024-03-12,103.54,-0.01
2024-03-13,103.92,0
2024-03-14,104.05,0
2024-03-15,104.01,0
2024-03-16,104.01,0
2024-03-17,104.01,0
2024-03-18,103.91,0
2024-03-19,104.21,0
2024-03-20,104.46,0
2024-03-21,104.98,0
2024-03-22,105.24,0
2024-03-23,105.24,0
2024-03-24,105.24,0
2024-03-25,105.28,0
2024-03-26,105.2,0
2024-03-27,105.35,0
2024-03-28,105.53,0
2024-03-29,105.81,0
2024-03-30,105.81,0
2024-03-31,105.81,0
2024-04-01,105.97,0
2024-04-02,105.62,0
2024-04-03,105.27,-0.01
2024-04-04,105.52,0
2024-04-05,105.04,-0.01
2024-04-06,105.04,-0.01
