Date,NAV,MDD
2023-12-31,100,0
2024-01-01,100,0
2024-01-02,99.92,0
2024-01-03,98.8,-0.01
2024-01-04,98.28,-0.02
2024-01-05,98.01,-0.02
2024-01-06,98.01,-0.02
2024-01-07,98.01,-0.02
2024-01-08,98.18,-0.02
2024-01-09,99.74,0
2024-01-10,100.23,0
2024-01-11,100.47,0
2024-01-12,100.4,0
2024-01-13,100.4,0
2024-01-14,100.4,0
2024-01-15,100.82,0
2024-01-16,100.96,0
2024-01-17,101.53,0
2024-01-18,101.33,0
2024-01-19,102.73,0
2024-01-20,102.73,0
2024-01-21,102.73,0
2024-01-22,104.47,0
2024-01-23,104.12,0
2024-01-24,104.75,0
2024-01-25,105.1,0
2024-01-26,104.67,0
2024-01-27,104.67,0
2024-01-28,104.67,0
2024-01-29,104.61,0
2024-01-30,105.11,0
2024-01-31,104.11,-0.01
2024-02-01,103.68,-0.01
2024-02-02,104.25,-0.01
2024-02-03,104.25,-0.01
2024-02-04,104.25,-0.01
2024-02-05,104.99,0
2024-02-06,105.34,0
2024-02-07,105.01,0
2024-02-08,106.12,0
2024-02-09,106.12,0
2024-02-10,106.12,0
2024-02-11,106.12,0
2024-02-12,106.12,0
2024-02-13,107,0
2024-02-14,106.19,-0.01
2024-02-15,107.14,0
2024-02-16,107.44,0
2024-02-17,107.44,0
2024-02-18,107.44,0
2024-02-19,106.9,0
2024-02-20,106.76,-0.01
2024-02-21,105.86,-0.01
2024-02-22,106.97,0
2024-02-23,108.51,0
2024-02-24,108.51,0
2024-02-25,108.51,0
2024-02-26,108.06,0
2024-02-27,108.03,0
2024-02-28,108.31,0
2024-02-29,107.78,-0.01
2024-03-01,107.78,-0.01
2024-03-02,107.78,-0.01
2024-03-03,107.78,-0.01
2024-03-04,110.17,0
2024-03-05,110.34,0
2024-03-06,109.78,-0.01
2024-03-07,110.4,0
2024-03-08,111.64,0
2024-03-09,111.64,0
2024-03-10,111.64,0
2024-03-11,109.32,-0.02
2024-03-12,109.4,-0.02
2024-03-13,110.53,-0.01
2024-03-14,110.04,-0.01
2024-03-15,109.36,-0.02
2024-03-16,109.36,-0.02
2024-03-17,109.36,-0.02
2024-03-18,109.84,-0.02
2024-03-19,109.67,-0.02
2024-03-20,110,-0.01
2024-03-21,111.3,0
2024-03-22,111.89,0
2024-03-23,111.89,0
2024-03-24,111.89,0
2024-03-25,112.09,0
2024-03-26,112.03,0
2024-03-27,112.15,0
2024-03-28,112.02,0
2024-03-29,112.31,0
2024-03-30,112.31,0
2024-03-31,112.31,0
2024-04-01,112.71,0
2024-04-02,112.38,0
2024-04-03,111.38,-0.01
