Date,NAV,MDD
2023-12-31,100,0
2024-01-01,100,0
2024-01-02,100.0526,0
2024-01-03,99.5657,0
2024-01-04,99.2635,-0.01
2024-01-05,99.3455,-0.01
2024-01-06,99.3455,-0.01
2024-01-07,99.3455,-0.01
2024-01-08,100.005,0
2024-01-09,99.7313,0
2024-01-10,99.7895,0
2024-01-11,99.7457,0
2024-01-12,99.9536,0
2024-01-13,99.9536,0
2024-01-14,99.9536,0
2024-01-15,99.9536,0
2024-01-16,99.2436,-0.01
2024-01-17,98.6503,-0.01
2024-01-18,98.87,-0.01
2024-01-19,99.6113,0
2024-01-20,99.6113,0
2024-01-21,99.6113,0
2024-01-22,99.8951,0
2024-01-23,99.8952,0
2024-01-24,99.5554,0
2024-01-25,100.2947,0
2024-01-26,100.1923,0
2024-01-27,100.1923,0
2024-01-28,100.1923,0
2024-01-29,100.758,0
2024-01-30,100.7318,0
2024-01-31,100.1384,-0.01
2024-02-01,101.0562,0
2024-02-02,100.7059,0
2024-02-03,100.7059,0
2024-02-04,100.7059,0
2024-02-05,99.8304,-0.01
2024-02-06,100.3429,-0.01
2024-02-07,100.5101,-0.01
2024-02-08,100.4524,-0.01
2024-02-09,100.4403,-0.01
2024-02-10,100.4403,-0.01
2024-02-11,100.4403,-0.01
2024-02-12,100.7189,0
2024-02-13,99.2882,-0.02
2024-02-14,99.8072,-0.01
2024-02-15,100.6303,0
2024-02-16,100.2609,-0.01
2024-02-17,100.2609,-0.01
2024-02-18,100.2609,-0.01
2024-02-19,100.2609,-0.01
2024-02-20,100.1797,-0.01
2024-02-21,100.2547,-0.01
2024-02-22,100.9514,0
2024-02-23,101.2011,0
2024-02-24,101.2011,0
2024-02-25,101.2011,0
2024-02-26,100.7289,0
2024-02-27,100.8224,0
2024-02-28,100.8884,0
2024-02-29,101.245,0
2024-03-01,101.9133,0
2024-03-02,101.9133,0
2024-03-03,101.9133,0
2024-03-04,102.0918,0
2024-03-05,102.0169,0
2024-03-06,102.4143,0
2024-03-07,102.9357,0
2024-03-08,102.8488,0
2024-03-09,102.8488,0
2024-03-10,102.8488,0
2024-03-11,102.9473,0
2024-03-12,103.0134,0
2024-03-13,103.0249,0
2024-03-14,102.3731,-0.01
2024-03-15,102.0707,-0.01
2024-03-16,102.0707,-0.01
2024-03-17,102.0707,-0.01
2024-03-18,102.2543,-0.01
2024-03-19,102.6646,0
2024-03-20,103.4195,0
2024-03-21,103.7953,0
2024-03-22,103.5883,0
2024-03-23,103.5883,0
2024-03-24,103.5883,0
2024-03-25,103.434,0
2024-03-26,103.1973,-0.01
2024-03-27,104.3425,0
