Date,Cumulative,MDD
2023-12-31,100,0
2024-01-01,100,0
2024-01-02,99.48,-0.01
2024-01-03,98.36,-0.02
2024-01-04,98.14,-0.02
2024-01-05,98.16,-0.02
2024-01-06,98.16,-0.02
2024-01-07,98.16,-0.02
2024-01-08,98.8,-0.01
2024-01-09,98.54,-0.01
2024-01-10,98.76,-0.01
2024-01-11,98.78,-0.01
2024-01-12,99.15,-0.01
2024-01-13,99.15,-0.01
2024-01-14,99.15,-0.01
2024-01-15,99.15,-0.01
2024-01-16,98.49,-0.02
2024-01-17,97.69,-0.02
2024-01-18,98.49,-0.02
2024-01-19,99.2,-0.01
2024-01-20,99.2,-0.01
2024-01-21,99.2,-0.01
2024-01-22,99.57,0
2024-01-23,99.5,0
2024-01-24,98.99,-0.01
2024-01-25,99.84,0
2024-01-26,99.65,0
2024-01-27,99.65,0
2024-01-28,99.65,0
2024-01-29,100.57,0
2024-01-30,100.79,0
2024-01-31,99.76,-0.01
2024-02-01,101.33,0
2024-02-02,101.36,0
2024-02-03,101.36,0
2024-02-04,101.36,0
2024-02-05,100.56,-0.01
2024-02-06,101.09,0
2024-02-07,101.73,0
2024-02-08,101.91,0
2024-02-09,102.22,0
2024-02-10,102.22,0
2024-02-11,102.22,0
2024-02-12,102.31,0
2024-02-13,100.63,-0.02
2024-02-14,101.51,-0.01
2024-02-15,102.38,0
2024-02-16,102.12,0
2024-02-17,102.12,0
2024-02-18,102.12,0
2024-02-19,102.12,0
2024-02-20,101.84,-0.01
2024-02-21,102.03,0
2024-02-22,103.16,0
2024-02-23,103.6,0
2024-02-24,103.6,0
2024-02-25,103.6,0
2024-02-26,103.44,0
2024-02-27,103.59,0
2024-02-28,103.79,0
2024-02-29,104.3,0
2024-03-01,105.4,0
2024-03-02,105.4,0
2024-03-03,105.4,0
2024-03-04,105.98,0
2024-03-05,105.49,0
2024-03-06,106.09,0
2024-03-07,106.97,0
2024-03-08,106.9,0
2024-03-09,106.9,0
2024-03-10,106.9,0
2024-03-11,106.64,0
2024-03-12,106.86,0
2024-03-13,106.98,0
2024-03-14,106.43,-0.01
2024-03-15,106.2,-0.01
2024-03-16,106.2,-0.01
2024-03-17,106.2,-0.01
2024-03-18,106.48,0
2024-03-19,106.94,0
2024-03-20,108.05,0
2024-03-21,108.63,0
2024-03-22,108.17,0
2024-03-23,108.17,0
2024-03-24,108.17,0
2024-03-25,107.91,-0.01
2024-03-26,107.95,-0.01
2024-03-27,109.09,0
2024-03-28,109.49,0
2024-03-29,109.49,0
2024-03-30,109.49,0
2024-03-31,109.49,0
2024-04-01,109.29,0
2024-04-02,109.14,0
