Date,NAV,MDD
2023-12-31,100,0
2024-01-01,100,0
2024-01-02,98.81,-0.01
2024-01-03,98.22,-0.02
2024-01-04,97.74,-0.02
2024-01-05,97.77,-0.02
2024-01-06,97.77,-0.02
2024-01-07,97.77,-0.02
2024-01-08,99.16,-0.01
2024-01-09,99.09,-0.01
2024-01-10,99.27,-0.01
2024-01-11,99.63,0
2024-01-12,99.71,0
2024-01-13,99.71,0
2024-01-14,99.71,0
2024-01-15,99.71,0
2024-01-16,99.47,-0.01
2024-01-17,98.97,-0.01
2024-01-18,99.88,0
2024-01-19,101.18,0
2024-01-20,101.18,0
2024-01-21,101.18,0
2024-01-22,101.49,0
2024-01-23,101.64,0
2024-01-24,102,0
2024-01-25,102.38,0
2024-01-26,101.79,-0.01
2024-01-27,101.79,-0.01
2024-01-28,101.79,-0.01
2024-01-29,102.65,0
2024-01-30,102.38,0
2024-01-31,101.7,-0.01
2024-02-01,102.65,0
2024-02-02,102.93,0
2024-02-03,102.93,0
2024-02-04,102.93,0
2024-02-05,102.81,0
2024-02-06,102.98,0
2024-02-07,103.68,0
2024-02-08,103.98,0
2024-02-09,104.73,0
2024-02-10,104.73,0
2024-02-11,104.73,0
2024-02-12,104.64,0
2024-02-13,103.08,-0.02
2024-02-14,104.13,-0.01
2024-02-15,104.39,0
2024-02-16,103.91,-0.01
2024-02-17,103.91,-0.01
2024-02-18,103.91,-0.01
2024-02-19,103.91,-0.01
2024-02-20,103.25,-0.01
2024-02-21,102.9,-0.02
2024-02-22,105.27,0
2024-02-23,105.34,0
2024-02-24,105.34,0
2024-02-25,105.34,0
2024-02-26,105.38,0
2024-02-27,105.32,0
2024-02-28,105.06,0
2024-02-29,105.9,0
2024-03-01,107.54,0
2024-03-02,107.54,0
2024-03-03,107.54,0
2024-03-04,107.83,0
2024-03-05,107.13,-0.01
2024-03-06,108.19,0
2024-03-07,109.55,0
2024-03-08,108.29,-0.01
2024-03-09,108.29,-0.01
2024-03-10,108.29,-0.01
2024-03-11,107.72,-0.02
2024-03-12,108.81,-0.01
2024-03-13,108.1,-0.01
2024-03-14,107.22,-0.02
2024-03-15,106.64,-0.03
2024-03-16,106.64,-0.03
2024-03-17,106.64,-0.03
2024-03-18,106.94,-0.02
2024-03-19,107.15,-0.02
2024-03-20,108.07,-0.01
2024-03-21,108.78,-0.01
2024-03-22,109,-0.01
2024-03-23,109,-0.01
2024-03-24,109,-0.01
2024-03-25,108.72,-0.01
2024-03-26,108.47,-0.01
2024-03-27,108.89,-0.01
2024-03-28,108.87,-0.01
2024-03-29,108.87,-0.01
2024-03-30,108.87,-0.01
